Model,Class,Total Samples,Misclassified,Error Rate (%)
Gaussian Naive Bayes,Angry,138,130,94.20289855072464
Gaussian Naive Bayes,Disgust,15,14,93.33333333333333
Gaussian Naive Bayes,Fear,143,139,97.2027972027972
Gaussian Naive Bayes,Happy,250,214,85.6
Gaussian Naive Bayes,Sad,169,119,70.41420118343196
Gaussian Naive Bayes,Surprise,112,39,34.82142857142857
Gaussian Naive Bayes,Neutral,173,171,98.84393063583815
KDE Naive Bayes,Angry,138,117,84.78260869565217
KDE Naive Bayes,Disgust,15,13,86.66666666666667
KDE Naive Bayes,Fear,143,120,83.91608391608392
KDE Naive Bayes,Happy,250,153,61.199999999999996
KDE Naive Bayes,Sad,169,132,78.10650887573965
KDE Naive Bayes,Surprise,112,86,76.78571428571429
KDE Naive Bayes,Neutral,173,120,69.36416184971098
Linear Discriminant,Angry,138,135,97.82608695652173
Linear Discriminant,Disgust,15,15,100.0
Linear Discriminant,Fear,143,128,89.5104895104895
Linear Discriminant,Happy,250,128,51.2
Linear Discriminant,Sad,169,136,80.4733727810651
Linear Discriminant,Surprise,112,90,80.35714285714286
Linear Discriminant,Neutral,173,137,79.1907514450867
Decision Tree,Angry,138,120,86.95652173913044
Decision Tree,Disgust,15,15,100.0
Decision Tree,Fear,143,132,92.3076923076923
Decision Tree,Happy,250,126,50.4
Decision Tree,Sad,169,144,85.20710059171599
Decision Tree,Surprise,112,86,76.78571428571429
Decision Tree,Neutral,173,117,67.63005780346822
Random Forest,Angry,138,131,94.92753623188406
Random Forest,Disgust,15,15,100.0
Random Forest,Fear,143,136,95.1048951048951
Random Forest,Happy,250,67,26.8
Random Forest,Sad,169,128,75.7396449704142
Random Forest,Surprise,112,90,80.35714285714286
Random Forest,Neutral,173,120,69.36416184971098
Bagging,Angry,138,132,95.65217391304348
Bagging,Disgust,15,15,100.0
Bagging,Fear,143,139,97.2027972027972
Bagging,Happy,250,71,28.4
Bagging,Sad,169,136,80.4733727810651
Bagging,Surprise,112,87,77.67857142857143
Bagging,Neutral,173,125,72.25433526011561
AdaBoost,Angry,138,122,88.40579710144928
AdaBoost,Disgust,15,15,100.0
AdaBoost,Fear,143,129,90.20979020979021
AdaBoost,Happy,250,115,46.0
AdaBoost,Sad,169,141,83.4319526627219
AdaBoost,Surprise,112,90,80.35714285714286
AdaBoost,Neutral,173,130,75.14450867052022
Linear SVM,Angry,138,136,98.55072463768117
Linear SVM,Disgust,15,15,100.0
Linear SVM,Fear,143,130,90.9090909090909
Linear SVM,Happy,250,80,32.0
Linear SVM,Sad,169,132,78.10650887573965
Linear SVM,Surprise,112,92,82.14285714285714
Linear SVM,Neutral,173,135,78.03468208092485
Gaussian SVM,Angry,138,118,85.5072463768116
Gaussian SVM,Disgust,15,15,100.0
Gaussian SVM,Fear,143,130,90.9090909090909
Gaussian SVM,Happy,250,106,42.4
Gaussian SVM,Sad,169,123,72.7810650887574
Gaussian SVM,Surprise,112,86,76.78571428571429
Gaussian SVM,Neutral,173,111,64.16184971098265
kNN,Angry,138,117,84.78260869565217
kNN,Disgust,15,15,100.0
kNN,Fear,143,124,86.7132867132867
kNN,Happy,250,147,58.8
kNN,Sad,169,129,76.33136094674556
kNN,Surprise,112,87,77.67857142857143
kNN,Neutral,173,113,65.3179190751445
Logistic Regression,Angry,138,135,97.82608695652173
Logistic Regression,Disgust,15,15,100.0
Logistic Regression,Fear,143,128,89.5104895104895
Logistic Regression,Happy,250,100,40.0
Logistic Regression,Sad,169,136,80.4733727810651
Logistic Regression,Surprise,112,86,76.78571428571429
Logistic Regression,Neutral,173,134,77.45664739884393
